,Country Name,Total Cases,Total Deaths,Total Recoveries
0,United States,37636167,634262,0
1,India,32077706,429669,31260050
2,Brazil,20416383,570598,19313546
3,Russia,6663473,172909,5939037
4,France,6504978,112943,0
5,United Kingdom,6355241,131260,0
6,Turkey,6118507,53507,5636282
7,Argentina,5096443,109405,4767041
8,Colombia,4874169,123688,4698770
9,Spain,4745558,82883,0
10,Iran,4556417,99691,3814127
11,Italy,4456765,128579,4199404
12,Indonesia,3908247,121141,3443903
13,Germany,3855935,92414,3687387
14,Mexico,3123252,249529,2470003
15,Poland,2885883,75307,2655588
16,South Africa,2638981,78337,2402020
17,Ukraine,2268666,53336,2198220
18,Peru,2135827,197539,2104713
19,Netherlands,1909211,17927,0
20,Iraq,1801364,19886,1623886
21,Philippines,1776495,30623,1640721
22,Czech Republic,1676817,30378,1643946
23,Chile,1630831,36456,1587619
24,Malaysia,1466512,13302,1198726
25,Canada,1458688,26758,1410866
26,Bangladesh,1440644,24719,1327028
27,Japan,1179176,15467,997295
28,Belgium,1156620,25299,0
29,Sweden,1114278,14662,0
30,Pakistan,1109274,24639,996426
31,Romania,1088594,34365,1050600
32,Portugal,1009571,17601,947465
33,Thailand,968957,8285,753338
34,Israel,962193,6723,896252
35,Hungary,810658,30045,768891
36,Jordan,786585,10252,764302
37,Morocco,782097,11345,688902
38,Switzerland,747396,10436,317600
39,Nepal,739907,10396,689173
40,Serbia,736313,7183,0
41,Kazakhstan,708379,7867,585298
42,United Arab Emirates,705089,2009,684414
43,Austria,671593,10757,650931
44,Tunisia,629702,22148,579852
45,Lebanon,584896,7988,542954
46,Greece,547186,13245,0
47,Cuba,545275,4240,496248
48,Saudi Arabia,540244,8439,525559
49,Ecuador,493767,31870,443880
50,Georgia,484254,6436,425651
51,Bolivia,483731,18222,423404
52,Belarus,463855,3637,457682
53,Paraguay,457023,15473,433491
54,Panama,448924,6970,431990
55,Bulgaria,435940,18395,400562
56,Costa Rica,434081,5269,351179
57,Guatemala,417620,11219,364533
58,Kuwait,407139,2395,398393
59,Slovakia,393722,12547,0
60,Uruguay,383505,6007,376130
61,Azerbaijan,377304,5208,341142
62,Croatia,367933,8291,357518
63,Sri Lanka,368111,6434,316528
64,Myanmar,363169,13786,282281
65,Dominican Republic,346510,3985,336373
66,Denmark,333815,2562,317959
67,Ireland,329388,5074,0
68,Palestine,321867,3625,313529
69,Honduras,321675,8496,104412
70,Venezuela,320922,3830,307261
71,Vietnam,302101,6770,115059
72,Oman,300728,4013,289130
73,Lithuania,291412,4461,274326
74,Ethiopia,290818,4495,265663
75,Libya,289219,3968,209411
76,Egypt,285577,16630,234449
77,Bahrain,271130,1384,268630
78,Moldova,263074,6328,254452
79,Slovenia,261484,4433,0
80,Armenia,235675,4716,223227
81,Qatar,229915,601,226562
82,South Korea,228657,2178,199582
83,Kenya,224400,4378,207450
84,Bosnia and Herzegovina,208267,9718,192218
85,Zambia,203169,3556,196936
86,Algeria,188663,4867,118409
87,Nigeria,183444,2229,167459
88,Mongolia,182538,876,192908
89,Kyrgyzstan,172937,2462,164344
90,North Macedonia,163452,5574,151144
91,Afghanistan,152411,7047,107467
92,Norway,146056,811,88952
93,Uzbekistan,145615,994,138230
94,Botswana,142380,2043,126597
95,Mozambique,140765,1761,122222
96,Latvia,140505,2566,136576
97,Estonia,137800,1281,131084
98,Albania,136598,2468,130755
99,Puerto Rico,134364,2689,0
100,Namibia,122885,3300,116704
101,Zimbabwe,121046,4156,100211
102,Finland,119320,995,31000
103,Ghana,112378,945,105168
104,Cyprus,110098,467,0
105,Kosovo,107749,2258,105325
106,Montenegro,107041,1651,100751
107,Uganda,97294,2917,95217
108,China,94472,4636,87908
109,El Salvador,92135,2812,78723
110,Cambodia,87190,1730,82666
111,Cameroon,82454,1338,80433
112,Rwanda,80137,969,45082
113,Maldives,79525,222,77639
114,Luxembourg,74855,829,73286
115,Senegal,71266,1636,55317
116,Singapore,66334,46,65062
117,Jamaica,59377,1339,47570
118,Malawi,58465,1998,43912
119,DR Congo,53620,1050,30380
120,Donetsk PR,52810,3873,43485
121,Cote d'Ivoire,52583,365,51580
122,Transnistria,51502,1265,49857
123,Angola,44964,1118,41781
124,Madagascar,42819,954,40450
125,Trinidad and Tobago,42233,1196,35071
126,Fiji,41830,413,19883
127,Australia,40774,970,0
128,Eswatini,38030,961,27770
129,Sudan,37620,2818,31562
130,Malta,35516,433,34072
131,Cape Verde,34529,300,33602
132,French Polynesia,32705,224,21469
133,Mauritania,30635,647,26672
134,Guinea,28118,292,25347
135,Suriname,26802,689,22863
136,Syria,26479,1942,22183
137,Gabon,25607,165,25381
138,Abkhazia,23813,350,19385
139,Guyana,23675,582,22050
140,Haiti,20689,582,16498
141,Seychelles,19186,101,18601
142,Togo,18359,170,15649
143,Papua New Guinea,17812,192,17530
144,Bahamas,16723,313,13361
145,Tajikistan,16275,124,15972
146,Somalia,16265,878,7913
147,Taiwan,15891,821,0
148,Belize,15108,347,13971
149,Andorra,14976,129,14711
150,Mali,14701,535,14022
151,Curaçao,14686,135,13930
152,Lesotho,14352,399,6711
153,Northern Cyprus,14065,44,12042
154,Burkina Faso,13680,171,13437
155,Aruba,13511,121,12347
156,Congo,13398,179,8208
157,East Timor,12929,36,10549
158,Hong Kong,12043,212,11794
159,Djibouti,11689,156,11513
160,Central African Republic,11251,99,5112
161,South Sudan,11223,120,10917
162,Laos,11029,9,5267
163,Nicaragua,10432,197,0
164,Burundi,10198,10,773
165,Benin,10183,119,8402
166,Iceland,9812,30,8613
167,Guam,9118,144,8562
168,Equatorial Guinea,9010,123,8798
169,Jersey,8987,75,8504
170,The Gambia,8920,251,8038
171,Luhansk PR,7915,735,6303
172,Yemen,7372,1411,4570
173,Eritrea,6611,37,6546
174,Saint Lucia,6578,95,5582
175,Mauritius,6460,22,1854
176,Sierra Leone,6343,121,4334
177,Isle of Man,6111,37,5341
178,Niger,5741,196,5452
179,Liberia,5459,148,2715
180,U.S. Virgin Islands,5413,41,5053
181,Gibraltar,5248,96,5015
182,San Marino,5231,90,5077
183,Guinea-Bissau,5123,90,4399
184,Chad,4984,174,4804
185,South Ossetia,4622,60+,3912
186,Somaliland,4608,311,3899
187,Barbados,4581,48,4315
188,Comoros,4039,147,3882
189,Sint Maarten,3271,42,2880
190,Liechtenstein,3185,59,3065
191,Monaco,3080,33,2935
192,Artsakh,2991,31,337
193,Bermuda,2715,33,2569
194,New Zealand,2580,26,2500
195,Bhutan,2577,3,2532
196,Turks and Caicos Islands,2568,19,2495
197,British Virgin Islands,2561,37,2482
198,São Tomé and Príncipe,2492,37,2390
199,Saint Vincent and The Grenadines,2320,12,2258
200,Bonaire,1732,17,1689
201,Antigua and Barbuda,1421,43,1277
202,Tanzania,1367,50,183
203,Sahrawi Arab DR,1319,60,996
204,Guernsey,1123,16,994
205,USS Theodore Roosevelt,1102,1,751
206,Charles de Gaulle,1081,0,0
207,Faroe Islands,993,2,988
208,Dominica,953,0,378
209,Brunei,946,3,338
210,Diamond Princess,712,14,698
211,Saint Kitts and Nevis,708,3,590
212,Cayman Islands,656,2,648
213,Wallis and Futuna,445,7,438
214,Greenland,273,0,171
215,Northern Mariana Islands,219,2,32
216,Grenada,188,1,173
217,Costa Atlantica,148,0,148
218,Anguilla,137,0,124
219,New Caledonia,134,0,58
220,Greg Mortimer,128,1,0
221,Falkland Islands,66,0,63
222,Macau,63,0,59
223,Antarctica,58,0,0
224,Saint Pierre and Miquelon,30,0,30
225,Vatican City,29,0,27
226,Sint Eustatius,24,0,21
227,Montserrat,23,1,20
228,Solomon Islands,20,0,18
229,MS Zaandam,13,4,0
230,Coral Princess,12,3,0
231,SeaDream I,9,0,0
232,Saba,9,0,8
233,"Saint Helena, Ascension and Tristan da Cunha",8,0,8
234,HNLMS Dolfijn,8,0,8
235,British Indian Ocean Territory,5,0,2
236,Marshall Islands,4,0,4
237,American Samoa,4,0,3
238,Samoa,3,0,1
239,Vanuatu,3,0,3
240,Kiribati,2,0,0
241,Palau,2,0,2
242,Federated States of Micronesia,2,0,1
